Jurisdiction of Occurrence,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),COVID-19 
Colorado,707,,162,17,44,11,47,,11,,146,52,0
Colorado,755,,177,26,43,17,59,15,10,,155,35,0
Colorado,704,11,168,15,47,14,52,18,10,,133,41,0
Colorado,759,,179,28,39,10,49,10,18,,160,56,0
Colorado,742,,163,18,39,19,67,,,,163,41,0
Colorado,718,,150,21,33,16,57,12,,,155,44,0
Colorado,715,10,162,19,39,15,54,,13,,151,43,
Colorado,781,16,169,29,37,22,60,14,12,,155,40,17
Colorado,779,10,152,13,55,21,58,16,,,170,44,47
Colorado,890,18,177,26,51,16,52,18,12,,156,42,129
Colorado,987,11,167,28,47,13,50,22,,,175,39,214
Colorado,1003,,172,26,65,,65,11,15,,176,49,218
Colorado,949,,170,24,54,11,55,,11,,157,37,224
Colorado,890,,147,11,39,10,43,14,,,163,44,189
Colorado,784,,129,27,33,,36,13,,,154,41,139
Colorado,775,,158,20,43,,50,15,,,142,48,97
Colorado,747,12,140,23,29,,36,,,,184,39,93
Colorado,724,,144,19,34,,47,14,,0,139,45,75
Colorado,706,,143,22,41,,44,10,,,144,30,63
Colorado,707,,147,23,32,,49,14,,,152,35,59
Colorado,747,,156,14,27,,48,18,10,,160,40,38
Colorado,742,11,162,27,41,,40,12,,,174,45,22
Colorado,682,,140,19,36,,29,14,,,153,47,25
Colorado,692,,137,23,47,,42,12,,,151,42,28
Colorado,683,,167,28,39,,42,11,12,,130,45,43
Colorado,707,,161,15,47,10,36,,,,150,54,33
Colorado,701,,159,21,33,,41,,,,154,38,36
Colorado,723,11,160,20,46,,45,,,10,146,39,39
Colorado,710,10,144,23,35,,45,10,,,160,38,28
Colorado,735,10,151,22,40,,50,12,13,10,170,26,19
Colorado,708,,162,17,34,,40,,,,140,53,29
Colorado,637,,143,14,31,,35,10,,,130,43,20
Colorado,748,,168,28,31,,42,,10,,152,45,33
Colorado,700,10,162,25,46,,35,,,,138,34,21
Colorado,722,,163,17,32,,50,14,10,,161,38,24
Colorado,689,10,150,18,29,,38,12,,,141,49,35
Colorado,691,,145,17,34,,38,12,,,162,33,38
Colorado,779,13,163,25,36,,40,13,14,,164,41,41
Colorado,776,,147,25,41,,50,14,,,151,52,62
Colorado,828,,151,28,54,,46,,11,,148,45,96
Colorado,894,12,163,19,67,,53,,,,145,50,167
Colorado,941,,148,19,46,,59,14,20,,151,48,228
Colorado,1029,11,155,25,49,,57,13,,,165,43,267
Colorado,1117,11,177,28,57,,58,,,,188,48,348
Colorado,1148,13,163,29,50,,63,14,11,,148,33,448
Colorado,1155,14,157,26,58,,46,15,,,166,45,428
Colorado,1116,,170,36,41,,32,16,10,,161,44,402
Colorado,1013,,172,23,35,,39,13,10,,161,46,308
Colorado,968,,153,31,48,,50,,11,,173,44,263
Colorado,965,11,167,35,47,,46,14,13,,157,42,211
Colorado,894,,182,23,38,,36,13,,,176,54,165
Colorado,851,,174,24,38,,39,17,13,,133,57,158
Colorado,830,,176,24,33,,41,15,13,,155,43,141
Colorado,822,,160,20,40,,64,17,,,155,38,118
Colorado,747,16,136,21,27,,48,16,,,156,39,100
Colorado,787,,148,32,31,,52,11,,0,167,48,65
Colorado,755,12,143,20,48,,48,22,12,,146,47,59
Colorado,739,,150,16,43,,35,13,12,,147,51,51
Colorado,728,,153,18,39,,38,11,12,,156,41,50
Colorado,777,11,141,23,38,,44,13,10,,193,34,45
Colorado,760,10,151,27,44,,43,20,,,167,45,43
Colorado,720,,150,18,27,,48,14,12,,150,41,48
Colorado,687,,171,29,28,,40,11,,,134,38,26
Colorado,755,,136,25,33,,30,14,,,177,45,62
Colorado,711,,144,27,21,,38,17,13,,158,33,56
Colorado,726,,143,25,44,,50,12,,,148,50,54
Colorado,744,,149,17,46,,45,11,11,,163,36,72
Colorado,747,10,153,27,29,,40,17,12,,143,38,93
Colorado,721,,155,21,28,,42,15,,,135,36,69
Colorado,704,,142,18,23,,48,15,13,,146,44,63
Colorado,721,,163,29,32,,33,,,,144,34,69
Colorado,739,11,164,18,33,,45,,10,,155,35,48
Colorado,711,10,140,19,38,,38,17,13,,151,32,42
Colorado,673,10,126,27,21,,42,14,10,,151,31,43
Colorado,730,,165,17,29,,34,14,11,,146,42,44
Colorado,718,13,147,30,36,,36,13,10,,137,31,55
Colorado,722,,161,29,27,,45,11,11,,135,35,38
Colorado,749,10,163,19,28,,43,12,14,,162,49,45
Colorado,717,,146,14,29,,43,14,11,,162,33,44
Colorado,718,,152,25,29,,49,,15,,145,38,42
Colorado,773,10,172,20,23,,30,,,,156,47,64
Colorado,781,,167,15,31,,38,15,10,,154,34,88
Colorado,791,14,177,24,33,,35,12,11,,149,38,96
Colorado,793,11,147,24,33,,49,11,,,153,31,106
Colorado,793,15,166,24,30,,45,12,,,148,38,101
Colorado,831,14,172,24,33,,43,13,11,,162,38,122
Colorado,852,,143,23,36,,39,12,11,,152,54,130
Colorado,907,12,167,26,35,,41,10,,,164,23,157
Colorado,860,,141,15,32,,49,21,10,,164,36,171
Colorado,899,11,149,19,29,,51,13,21,,164,45,157
Colorado,939,15,171,27,33,,49,19,10,,172,42,196
Colorado,945,13,180,20,26,11,46,,10,,170,44,218
Colorado,1024,11,155,36,45,,49,21,,,180,51,254
Colorado,1012,10,158,32,40,,56,15,,,145,47,285
Colorado,1047,,152,25,45,,41,13,,10,171,44,291
Colorado,1044,14,163,21,43,,51,16,19,,177,43,278
Colorado,1057,,152,24,36,11,56,13,11,,186,38,293
Colorado,995,,139,25,27,,50,16,14,,167,34,285
Colorado,1023,12,163,27,32,,67,12,10,,174,35,252
Colorado,978,,155,22,46,,49,19,12,,189,40,213
Colorado,1028,15,167,29,45,,56,17,,,189,42,197
Colorado,1072,13,180,31,37,20,60,24,19,,204,55,197
Colorado,1066,10,179,32,47,11,56,,17,,197,42,243
Colorado,1076,,164,29,56,16,60,12,13,,198,44,279
Colorado,1033,12,151,42,41,14,55,10,10,,189,42,270
Colorado,975,10,143,33,41,,55,16,15,,184,43,244
Colorado,918,14,166,26,29,10,50,16,13,,156,54,189
Colorado,845,,161,14,27,,57,11,12,,156,46,141
Colorado,814,,152,21,33,,48,14,,,166,54,108
Colorado,828,,148,21,37,,37,16,15,,190,50,82
Colorado,795,,154,26,41,,49,14,15,,167,45,63
Colorado,748,16,152,17,29,,40,19,12,,160,49,50
Colorado,724,12,143,25,35,,47,13,,,153,43,43
Colorado,769,10,157,22,37,,35,11,13,,189,32,26
Colorado,715,13,177,25,31,12,46,12,,,137,40,23
Colorado,767,,154,27,52,,44,17,11,,178,48,18
Colorado,751,12,148,28,26,,50,,14,,184,42,19
Colorado,724,10,162,17,34,,51,17,,,141,41,21
Colorado,729,,171,14,50,12,52,12,,12,144,35,16
Colorado,749,11,156,20,27,13,49,21,,,156,48,20
Colorado,812,,175,28,39,16,62,14,10,,178,37,31
Colorado,737,11,153,15,40,11,46,13,12,,163,44,27
Colorado,740,,158,22,44,,46,15,,,181,28,46
Colorado,733,11,154,24,33,13,39,10,,,142,35,39
Colorado,734,11,143,22,26,,40,14,,,170,38,47
Colorado,784,,211,21,34,,44,10,13,,158,35,41
Colorado,718,,144,23,47,,34,,,,147,45,42
Colorado,748,10,180,18,26,,42,13,14,,162,46,32
Colorado,702,,152,23,25,,37,11,10,,158,45,39
Colorado,752,12,172,21,32,,46,15,,,148,42,51
Colorado,703,,159,20,24,,39,,11,,159,34,48
Colorado,745,10,181,22,35,,33,12,11,,160,24,33
Colorado,634,,127,19,30,,34,10,,,144,35,33
Colorado,679,,138,29,25,,43,,12,,129,52,33
Colorado,690,19,164,18,32,,37,15,,12,158,31,20
Colorado,721,,165,22,38,,47,12,,,138,32,36
Colorado,734,16,153,25,25,,38,12,11,,158,48,33
Colorado,745,17,175,21,35,,51,12,13,,155,34,29
Colorado,749,,185,14,28,11,40,,,10,146,40,41
Colorado,748,13,159,22,36,,46,12,13,,142,46,32
Colorado,674,,158,19,31,,43,10,,,143,40,26
Colorado,728,12,155,32,39,,45,12,14,,143,28,28
Colorado,786,11,161,28,43,12,49,17,13,,163,42,26
Colorado,741,,160,26,45,,51,12,12,,142,40,34
Colorado,771,10,143,21,34,,57,12,,,158,36,43
Colorado,817,,177,23,43,,32,10,14,,172,41,54
Colorado,831,,164,28,37,,48,13,10,,173,54,64
Colorado,851,11,161,23,37,13,46,14,12,,204,45,57
Colorado,845,12,145,33,47,16,64,20,10,,192,32,58
Colorado,883,11,171,18,36,14,52,20,,,184,47,60
Colorado,840,,188,26,35,13,66,19,17,,165,41,47
Colorado,897,14,175,22,36,19,63,15,11,10,177,50,52
Colorado,868,,172,24,39,29,66,10,16,,161,41,50
Colorado,852,12,152,27,37,22,66,13,13,14,175,41,55
Colorado,843,,150,25,32,14,59,17,22,11,163,48,48
Colorado,850,13,159,27,46,13,64,15,17,23,164,53,40
Colorado,779,10,137,21,38,,66,14,12,28,165,32,25
Colorado,801,12,164,22,32,11,49,11,10,30,164,46,25
Colorado,754,,164,18,31,,41,,11,48,155,49,21
Colorado,849,11,166,23,48,,36,15,11,51,169,44,19
Colorado,837,13,159,25,38,,64,17,13,51,146,44,22
Colorado,840,10,167,24,36,,42,14,14,72,146,43,25
Colorado,787,10,139,20,36,,71,17,12,74,149,28,25
Colorado,811,20,176,18,31,,50,17,11,90,137,33,24
Colorado,740,10,147,16,33,,43,18,10,89,129,47,18
Colorado,566,,111,15,25,0,37,13,,64,109,28,21
Connecticut,574,11,123,12,15,,18,11,13,,160,29,0
Connecticut,576,15,133,14,19,19,35,,,,135,28,0
Connecticut,592,,143,10,23,13,28,17,11,13,151,22,0
Connecticut,598,14,137,16,27,14,27,13,,,155,26,0
Connecticut,612,11,135,15,13,22,33,13,17,,164,28,0
Connecticut,598,20,130,13,18,21,28,16,,,148,20,0
Connecticut,587,15,120,15,23,18,32,10,11,10,151,32,0
Connecticut,598,14,140,18,12,21,19,16,10,,163,25,0
Connecticut,579,13,113,18,20,27,33,,11,,155,28,0
Connecticut,565,,108,20,13,,37,15,15,,140,25,0
Connecticut,581,13,128,16,17,15,27,15,11,13,131,37,0
Connecticut,609,10,150,19,14,14,25,12,10,,144,33,11
Connecticut,693,14,125,13,22,14,37,14,,11,163,37,49
Connecticut,824,14,121,14,26,20,25,15,11,13,158,30,215
Connecticut,1195,14,139,27,34,16,35,12,12,,175,24,526
Connecticut,1328,15,131,18,24,11,19,16,17,14,173,26,686
Connecticut,1286,10,120,21,26,10,24,20,10,15,133,31,686
Connecticut,1114,,129,22,30,11,22,12,20,,131,26,577
Connecticut,992,12,123,17,28,,19,22,,,122,27,468
Connecticut,891,,119,16,19,,23,14,13,,137,24,384
Connecticut,768,,107,14,23,,27,17,10,,122,27,284
Connecticut,709,,117,12,22,,15,12,10,,135,28,212
Connecticut,611,14,109,14,22,10,25,17,,,119,30,120
Connecticut,563,,137,19,23,,15,,,,108,27,87
Connecticut,526,,133,18,20,,16,11,,,106,26,44
Connecticut,547,12,128,17,14,,21,,,,134,26,44
Connecticut,500,,118,12,18,,21,,12,,129,21,24
Connecticut,545,,139,13,17,,25,,,,136,18,25
Connecticut,496,10,115,15,13,,22,16,,,124,33,15
Connecticut,525,,111,16,27,,22,,,,138,30,15
Connecticut,479,,129,15,19,,13,,11,,124,23,10
Connecticut,524,,132,20,27,,19,10,,,128,31,
Connecticut,532,,132,15,18,,24,,,,126,28,
Connecticut,512,,116,19,25,,26,,12,,113,26,
Connecticut,492,,118,13,18,,15,10,,,108,29,
Connecticut,510,,117,17,25,14,15,,,,112,27,
Connecticut,513,14,126,,14,13,19,10,,,115,26,
Connecticut,518,10,127,14,16,,22,,12,,124,24,12
Connecticut,574,11,131,17,17,,34,,,,148,38,
Connecticut,566,,147,16,28,,23,10,13,,124,26,16
Connecticut,567,12,152,10,19,,14,16,13,,123,31,17
Connecticut,578,13,133,18,19,,17,10,14,,135,40,31
Connecticut,615,,143,18,25,,27,,13,,127,25,32
Connecticut,592,12,128,20,15,,18,,20,,126,25,62
Connecticut,660,,144,20,20,10,25,,10,,149,37,68
Connecticut,632,10,117,15,20,10,19,12,16,11,143,25,79
Connecticut,698,14,128,15,21,,21,,11,,137,29,130
Connecticut,699,10,125,10,22,,22,10,,,145,26,165
Connecticut,780,12,139,14,32,,26,,,,141,24,218
Connecticut,787,10,141,15,22,,22,11,10,,132,27,227
Connecticut,819,16,130,24,19,10,22,,13,,147,38,253
Connecticut,857,14,131,26,23,17,27,10,12,,158,36,239
Connecticut,857,,133,19,18,10,24,16,,,135,34,298
Connecticut,795,12,137,14,28,,23,18,,,128,34,242
Connecticut,801,,140,22,24,,21,10,15,,140,31,249
Connecticut,811,11,121,22,22,,25,,12,10,145,35,252
Connecticut,766,10,146,18,29,,24,,,,126,33,185
Connecticut,725,15,122,14,18,,34,,10,,142,30,178
Connecticut,679,14,130,15,20,,20,,11,,135,26,144
Connecticut,616,,120,19,23,,16,12,11,,139,17,91
Connecticut,622,,116,13,21,,27,,16,,123,47,81
Connecticut,603,11,113,17,20,13,16,,15,,129,23,66
Connecticut,587,,113,18,29,,24,12,11,,128,25,64
Connecticut,584,,137,19,16,,24,10,,,129,28,52
Connecticut,597,,148,14,15,,27,17,,,128,28,47
Connecticut,562,,111,16,17,,20,,16,,141,24,49
Connecticut,510,12,122,,16,,18,,12,,122,24,39
Connecticut,560,,128,14,16,,22,12,16,0,128,28,44
Connecticut,549,,119,15,18,,17,11,11,,122,25,50
Connecticut,573,13,129,17,21,,19,17,19,11,120,31,48
Connecticut,565,13,108,18,21,10,25,,,,133,39,39
Connecticut,515,,122,,17,,16,10,13,,128,20,35
Connecticut,516,13,123,13,15,,23,11,10,,119,25,18
Connecticut,557,,118,15,22,12,19,,11,,143,21,16
Connecticut,496,10,113,12,18,,17,,17,,132,23,10
Connecticut,503,16,122,11,17,,12,12,12,,102,23,10
Connecticut,509,11,137,17,17,,23,17,,,109,26,
Connecticut,534,14,142,10,14,,23,12,,13,122,29,
Connecticut,543,12,132,,25,,21,11,14,,136,23,
Connecticut,547,13,106,19,15,,36,12,16,,146,26,
Connecticut,503,13,124,,22,,25,12,12,10,100,34,
Connecticut,541,10,134,13,16,,20,12,,,147,25,
Connecticut,508,16,132,10,14,,26,11,10,,109,25,
Connecticut,554,11,121,19,21,10,29,13,,,141,34,14
Connecticut,573,10,150,16,19,,17,13,13,,127,23,28
Connecticut,566,10,136,23,18,11,22,12,10,,118,24,23
Connecticut,572,,100,13,24,,22,15,12,,154,30,37
Connecticut,557,13,128,17,27,,17,,17,,101,32,45
Connecticut,568,15,127,15,25,,23,18,13,,116,23,41
Connecticut,614,,148,16,18,,26,,20,10,132,24,46
Connecticut,621,14,127,11,28,10,17,20,23,,123,20,46
Connecticut,576,13,139,10,15,,26,13,13,,134,22,42
Connecticut,576,,117,17,23,,37,17,12,,122,27,35
Connecticut,566,14,146,12,20,,17,,,,117,23,34
Connecticut,621,16,125,,22,15,17,10,10,,131,45,42
Connecticut,599,19,140,10,20,,23,13,11,13,136,27,25
Connecticut,617,16,132,16,15,16,29,19,10,15,125,24,31
Connecticut,629,,134,18,24,11,21,,13,12,129,33,38
Connecticut,622,11,119,12,27,13,24,15,15,,144,34,35
Connecticut,647,14,121,20,31,10,24,12,14,,122,37,52
Connecticut,701,,123,14,18,12,31,15,20,,161,35,50
Connecticut,687,12,130,,24,12,25,13,15,,142,27,83
Connecticut,656,,120,15,19,12,24,16,17,12,147,25,80
Connecticut,695,11,129,18,29,10,24,11,10,11,139,29,110
Connecticut,744,15,124,26,27,10,21,13,15,,164,30,123
Connecticut,865,,146,16,26,13,26,,13,,175,24,215
Connecticut,851,14,130,12,28,10,24,13,26,14,145,31,261
Connecticut,913,10,126,16,32,10,17,15,17,,175,30,303
Connecticut,764,,126,18,19,13,22,14,19,,135,38,178
Connecticut,790,12,140,20,28,,35,10,27,11,153,24,174
Connecticut,729,11,128,15,22,11,23,16,23,,147,37,117
Connecticut,639,,129,13,21,10,19,15,19,,143,32,73
Connecticut,602,,117,10,25,10,27,14,22,,139,24,53
Connecticut,617,,123,21,26,,23,13,18,12,161,27,34
Connecticut,569,,116,14,14,,24,14,16,,153,28,20
Connecticut,557,,152,11,17,,22,17,,,129,31,12
Connecticut,545,11,141,16,21,,19,,14,,133,29,
Connecticut,565,,137,16,17,13,30,10,14,,122,28,13
Connecticut,577,12,124,12,20,,24,13,12,14,139,32,13
Connecticut,572,10,113,11,19,11,24,21,14,,140,36,13
Connecticut,581,17,116,11,23,,24,17,10,,126,36,15
Connecticut,563,13,115,15,15,12,23,11,19,,120,38,25
Connecticut,546,,125,15,19,12,26,12,10,,99,36,23
Connecticut,596,11,131,17,16,,26,15,12,,130,24,21
Connecticut,585,12,108,17,24,15,31,15,18,11,141,32,28
Connecticut,572,10,126,23,10,11,27,16,13,,126,22,32
Connecticut,559,,134,10,19,15,21,,19,,138,29,24
Connecticut,518,,142,,18,12,18,11,,,121,24,24
Connecticut,545,,124,12,13,10,20,22,16,10,121,31,28
Connecticut,537,,129,,21,,24,13,12,,128,28,16
Connecticut,585,10,144,18,20,,20,17,18,,125,32,26
Connecticut,556,,133,17,16,12,21,11,18,,118,25,23
Connecticut,547,10,120,10,20,,19,11,10,,128,28,16
Connecticut,556,,121,11,24,,23,,12,,134,31,15
Connecticut,536,10,148,,18,,21,10,13,,130,19,25
Connecticut,531,,137,15,17,,22,,16,,125,24,31
Connecticut,529,11,124,16,20,,15,13,13,,117,33,21
Connecticut,543,16,123,13,20,11,24,,12,,120,28,24
Connecticut,550,15,151,17,15,,23,10,13,,108,17,26
Connecticut,488,,109,13,11,,15,15,10,,126,17,27
Connecticut,543,,114,11,21,,26,,14,,125,22,32
Connecticut,518,,122,12,15,14,29,,,,127,22,25
Connecticut,560,10,116,10,24,12,29,,12,,126,28,24
Connecticut,588,,155,12,21,,21,12,,,118,29,32
Connecticut,595,11,134,16,24,11,17,11,,10,124,26,30
Connecticut,604,,125,17,14,,17,10,12,,149,31,44
Connecticut,581,,115,18,27,,26,14,14,,121,20,34
Connecticut,551,15,107,17,19,,21,12,20,11,116,34,42
Connecticut,617,10,129,16,17,16,37,13,17,,126,39,37
Connecticut,608,,131,14,28,12,27,12,19,10,123,38,19
Connecticut,596,,138,12,23,12,21,,12,12,129,35,22
Connecticut,645,10,125,23,26,16,21,,16,11,124,37,34
Connecticut,651,,153,19,28,21,30,10,20,11,138,25,26
Connecticut,650,,134,15,22,30,26,,19,11,149,32,35
Connecticut,680,10,134,19,24,24,30,20,18,,150,35,41
Connecticut,729,10,138,12,19,25,24,16,15,12,190,33,54
Connecticut,735,,128,15,29,20,26,13,19,15,170,38,63
Connecticut,632,11,110,10,19,26,26,18,19,10,146,41,45
Connecticut,670,10,132,14,24,10,35,11,13,14,131,35,40
Connecticut,667,12,136,16,22,15,30,18,22,16,136,42,53
Connecticut,624,,118,18,16,13,29,12,13,18,134,25,44
Connecticut,680,13,116,16,30,16,18,18,21,35,147,37,39
Connecticut,644,11,122,15,16,10,29,19,17,27,146,34,24
Connecticut,624,12,138,15,20,11,31,19,13,25,127,34,29
Connecticut,635,,156,15,16,16,27,,13,42,124,23,22
Connecticut,639,,124,20,25,,25,14,13,43,141,11,20
Connecticut,625,12,147,16,15,12,21,12,,48,125,34,14
Connecticut,598,10,126,15,17,,18,13,10,41,116,29,20
Connecticut,405,,74,,21,16,11,,,32,85,16,13
Connecticut,291,,53,,11,,13,,,26,55,25,
Delaware,179,,36,,12,,11,,,,50,15,0
Delaware,171,0,33,,,,13,0,,0,45,13,0
Delaware,170,,25,,13,,13,0,,0,46,,0
Delaware,174,,37,,,,,,,0,48,18,0
Delaware,167,,36,,,,11,,,0,35,10,0
Delaware,169,,45,,,,10,,,0,33,10,0
Delaware,183,,56,,,,10,,,0,46,10,0
Delaware,170,0,44,,,,,,,,42,15,0
Delaware,147,,28,,,,14,,,0,35,11,0
Delaware,190,,37,,11,,12,,10,,44,13,0
Delaware,173,0,48,,14,,,,,0,47,,0
Delaware,195,,51,,,,,,,,49,15,0
Delaware,174,,38,,,,10,,,,37,15,
Delaware,196,,41,,12,,13,0,,,51,11,
Delaware,206,,47,11,18,,12,,,,38,,25
Delaware,213,,46,,,,13,,,0,27,15,43
Delaware,268,,42,,,,,,,,51,17,64
Delaware,234,0,31,,11,,,,,,33,20,76
Delaware,248,,35,,11,,13,,,0,41,,65
Delaware,257,,42,,14,,,,,0,39,13,81
Delaware,213,0,44,,,,,,,0,46,13,51
Delaware,204,,37,,,,,,,,39,16,51
Delaware,154,,29,,,,,,,0,27,13,25
Delaware,178,,42,,10,0,,0,,,33,16,22
Delaware,142,,27,,,,13,,,0,36,,14
Delaware,182,,48,,,,,,,0,39,12,10
Delaware,175,0,39,,,,,,,,44,13,
Delaware,171,,36,,,,10,,,0,48,15,
Delaware,176,,53,,,,,,0,0,43,16,
Delaware,179,,42,,,0,,,,,51,,10
Delaware,173,,44,,,,,,,,45,18,
Delaware,178,,38,,14,,,,0,,57,12,
Delaware,163,,37,,,,13,,,,39,16,
Delaware,176,0,50,11,,,,,,,35,12,
Delaware,171,0,43,,,,10,,,,41,17,
Delaware,181,,40,,,,,,,,51,16,
Delaware,183,,41,,10,,14,,,0,41,16,
Delaware,144,,37,,,0,,,,,27,13,
Delaware,187,,35,,10,,,,,,40,23,
Delaware,181,0,42,,13,,,,,0,38,13,13
Delaware,185,,50,,,,10,,,0,32,17,12
Delaware,188,,45,11,,,,,,0,34,19,17
Delaware,201,,48,,12,,,,,,38,18,20
Delaware,182,0,36,,,0,,,,0,43,17,25
Delaware,179,,32,12,,0,,,,,39,14,16
Delaware,160,,30,,,,,,,0,29,,18
Delaware,215,,44,,12,,10,,,,46,18,24
Delaware,181,,29,,14,,,,,,30,15,28
Delaware,217,,52,11,,,10,0,,,38,12,42
Delaware,251,,45,,13,,11,,,0,42,11,52
Delaware,265,,35,10,,,12,,,,60,17,69
Delaware,271,,54,,12,,11,,,0,37,19,77
Delaware,270,,44,,13,,13,,,,49,20,71
Delaware,252,,38,,,,13,,,,50,14,66
Delaware,265,,47,,16,,10,,,0,54,15,79
Delaware,262,,46,,13,,,,,,50,23,90
Delaware,241,,40,,,,,,,0,46,14,65
Delaware,245,,41,,,,16,,,0,63,18,51
Delaware,216,,33,,,,12,,,,46,11,51
Delaware,196,,50,,,,,,,,52,,23
Delaware,194,,44,,10,,,,,,43,13,26
Delaware,192,,50,,10,0,11,,,,42,11,22
Delaware,185,,36,,12,,,,,,41,10,24
Delaware,213,,38,,18,,17,,,,45,21,12
Delaware,187,,51,,,,,,,0,42,15,10
Delaware,142,,29,,,0,,,,,36,,10
Delaware,173,,34,,10,,,,,,32,15,19
Delaware,195,,38,12,,,13,,,,39,15,22
Delaware,187,,41,,11,,,,,0,49,16,10
Delaware,184,,45,,,,12,0,,0,38,13,16
Delaware,171,,52,,,,,,,0,32,10,12
Delaware,182,,43,,11,,13,,,,40,17,12
Delaware,183,,48,,,,,,,,40,12,
Delaware,178,,45,,,,12,,,,39,15,
Delaware,159,,35,,10,,,,,0,36,17,
Delaware,171,,46,,,,,,,,30,21,
Delaware,151,,41,,,,,,,0,39,11,
Delaware,182,,49,,,,,,,,46,14,
Delaware,175,,38,,,,10,,,0,37,14,
Delaware,153,0,38,,,0,,,,0,38,10,
Delaware,156,,34,,,,,,,,43,14,
Delaware,160,,40,,,,,,,0,40,19,
Delaware,155,0,54,,0,0,10,0,,0,29,18,
Delaware,160,,40,,,,,0,,,31,17,
Delaware,217,0,57,14,,,,,,,41,23,
Delaware,202,,55,,,,,,,,47,19,19
Delaware,184,,37,,,,11,,,0,36,10,18
Delaware,180,,37,11,,,,,,0,42,13,20
Delaware,200,,49,,,0,15,,,,41,12,26
Delaware,195,,41,,,,,,,,37,15,39
Delaware,228,,42,,11,0,16,,,0,50,27,34
Delaware,193,,34,,,,,,,,39,,29
Delaware,190,,46,,,,,0,,0,38,11,33
Delaware,204,,40,,12,,11,,,,44,14,24
Delaware,224,,48,,,,10,,,0,55,20,34
Delaware,217,,41,,,,19,,,,35,15,17
Delaware,176,,45,,,,,,,0,30,10,27
Delaware,207,,47,,,,15,,0,,33,19,17
Delaware,175,0,32,,11,,,,,,34,14,21
Delaware,216,,33,10,,,11,,,,47,16,24
Delaware,222,,45,,,,,,,,44,26,27
Delaware,216,,42,12,,,10,,,,40,14,27
Delaware,228,,40,12,,,14,,,,50,10,44
Delaware,212,,43,,,,13,,,0,46,13,31
Delaware,234,,43,,11,,,,,0,38,18,54
Delaware,247,,40,10,12,,,0,,0,53,14,69
Delaware,282,,50,13,14,,11,,,,47,17,78
Delaware,323,,40,,12,,12,,,0,65,22,92
Delaware,285,,51,,,,,,,,57,19,78
Delaware,257,,44,,14,,11,0,,,35,19,63
Delaware,238,,47,12,12,,,,,,44,22,43
Delaware,204,,39,,,,14,,,,34,23,29
Delaware,217,,63,,,,12,,,0,40,19,23
Delaware,195,,38,14,10,,15,,0,0,34,22,16
Delaware,196,,46,,13,,,,,0,35,21,13
Delaware,185,,49,,,,10,,,,33,12,12
Delaware,184,,40,,,,,,,0,46,11,10
Delaware,192,,37,,,,15,,,,54,15,
Delaware,186,,46,,,,12,,,,48,13,
Delaware,177,,51,,,,,,,0,41,,
Delaware,191,,45,,15,,,,,0,46,22,
Delaware,188,,52,,,,,,,,42,17,
Delaware,165,,41,,,,,,,0,43,15,
Delaware,179,,41,,,,,,,,39,15,
Delaware,169,,33,,11,,11,,,,41,17,
Delaware,201,,44,11,10,,,0,,,50,16,
Delaware,168,,42,,,,,,,0,41,19,
Delaware,173,,42,,,,,,,0,46,10,11
Delaware,182,,40,,12,,12,,,0,46,12,
Delaware,163,0,47,,,,,,,0,40,16,
Delaware,163,0,36,,,,,,,,33,14,11
Delaware,172,,41,,,,,,,,33,16,
Delaware,185,,48,,12,,,,,,41,11,
Delaware,205,,54,,10,,10,,,,48,14,12
Delaware,198,,57,,,,,,,,38,15,11
Delaware,168,,50,,,,,,,0,34,18,10
Delaware,158,,36,,,,,,,,44,18,
Delaware,162,,44,,,,12,,,,34,12,
Delaware,172,,27,,,0,,,,0,40,23,13
Delaware,168,,50,,,,,,,0,42,10,
Delaware,162,,39,,10,,,,,,35,13,
Delaware,183,,48,,,0,,,,,39,13,
Delaware,188,,49,,,,15,,,,29,16,19
Delaware,172,,50,,,,,,,0,39,14,
Delaware,196,,47,,,,,,,,40,15,
Delaware,185,,60,,,,,,,,34,18,
Delaware,200,,38,11,16,,,,,,46,17,
Delaware,219,,51,,16,,,,,,52,16,
Delaware,187,,44,10,,,,,,,51,12,
Delaware,195,0,48,,10,,10,,,0,46,11,
Delaware,203,,49,,14,,11,,,,39,15,
Delaware,198,,67,,,,,,,,41,21,
Delaware,187,,41,,,,,,,,37,14,
Delaware,228,0,61,,,,,,,,43,15,14
Delaware,182,,35,,,,,0,,,49,16,11
Delaware,241,,38,14,14,10,12,,,,44,18,12
Delaware,209,,32,14,12,,15,,,,48,18,
Delaware,227,,39,,,,15,,,,60,17,10
Delaware,199,,44,,,,,,,,44,20,16
Delaware,180,,44,,,,,0,,14,29,15,12
Delaware,236,,47,,13,,13,,,,51,22,17
Delaware,196,,41,12,,,,,,,48,17,11
Delaware,220,,38,11,,,,0,,13,51,24,12
